keyword,name,averSalary,number
python,上海市,18250,2
python,江苏省,15000,1
python,陕西省,10000,3
python,河南省,8400,5
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,13000,1
python,山西省,12500,1
python,河北省,10000,1
python,重庆市,8773,97
python,北京市,15437,4
python,广东省,29250,4
python,浙江省,9000,2
python,四川省,13916,6
python,上海市,18250,2
python,江苏省,15000,1
python,陕西省,10000,3
python,河南省,8400,5
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,13000,1
python,山西省,12500,1
python,河北省,10000,1
python,重庆市,8773,97
python,北京市,15437,4
python,广东省,29250,4
python,浙江省,9000,2
python,四川省,14000,7
python,上海市,18250,2
python,江苏省,15000,1
python,陕西省,10000,3
python,河南省,8400,5
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,13000,1
python,山西省,12500,1
python,河北省,10000,1
python,重庆市,8773,97
python,北京市,14650,5
python,广东省,29250,4
python,浙江省,9000,2
python,四川省,14000,7
python,上海市,18250,2
python,江苏省,15000,1
python,陕西省,10000,3
python,河南省,8400,5
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,13000,1
python,山西省,12500,1
python,河北省,10000,1
python,重庆市,8773,97
python,北京市,14650,5
python,广东省,24700,5
python,浙江省,9000,2
python,四川省,14000,7
python,上海市,18250,2
python,江苏省,15000,1
python,陕西省,10000,3
python,河南省,8400,5
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,13000,1
python,山西省,12500,1
python,河北省,10000,1
python,重庆市,8773,97
python,北京市,14650,5
python,广东省,24700,5
python,浙江省,9000,2
python,四川省,14000,7
python,上海市,18250,2
python,江苏省,15000,1
python,陕西省,9375,4
python,河南省,8400,5
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,13000,1
python,山西省,12500,1
python,河北省,10000,1
python,重庆市,8773,97
python,北京市,14650,5
python,广东省,24700,5
python,浙江省,9000,2
python,四川省,14000,7
python,上海市,16000,3
python,江苏省,15000,1
python,陕西省,9375,4
python,河南省,8400,5
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,13000,1
python,山西省,12500,1
python,河北省,10000,1
python,重庆市,8773,97
python,北京市,14650,5
python,广东省,24700,5
python,浙江省,9000,2
python,四川省,14000,7
python,上海市,16000,3
python,江苏省,15000,1
python,陕西省,9375,4
python,河南省,8400,5
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,13000,1
python,山西省,12500,1
python,河北省,10000,1
python,甘肃省,13000,1
python,重庆市,8773,97
python,北京市,14650,5
python,广东省,21166,6
python,浙江省,9000,2
python,四川省,14000,7
python,上海市,16000,3
python,江苏省,15000,1
python,陕西省,9375,4
python,河南省,8400,5
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,13000,1
python,山西省,12500,1
python,河北省,10000,1
python,甘肃省,13000,1
python,重庆市,8773,97
python,北京市,15708,6
python,广东省,21166,6
python,浙江省,9000,2
python,四川省,14000,7
python,上海市,16000,3
python,江苏省,15000,1
python,陕西省,9375,4
python,河南省,8400,5
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,13000,1
python,山西省,12500,1
python,河北省,10000,1
python,甘肃省,13000,1
python,重庆市,8773,97
python,北京市,15708,6
python,广东省,21166,6
python,浙江省,9000,2
python,四川省,14000,7
python,上海市,18875,4
python,江苏省,15000,1
python,陕西省,9375,4
python,河南省,8400,5
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,13000,1
python,山西省,12500,1
python,河北省,10000,1
python,甘肃省,13000,1
python,重庆市,8773,97
python,北京市,15708,6
python,广东省,21166,6
python,浙江省,9000,2
python,四川省,14000,7
python,上海市,18875,4
python,江苏省,15000,1
python,陕西省,9375,4
python,河南省,8400,5
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,14000,2
python,山西省,12500,1
python,河北省,10000,1
python,甘肃省,13000,1
python,重庆市,8773,97
python,北京市,15708,6
python,广东省,21166,6
python,浙江省,9000,2
python,四川省,14000,7
python,上海市,18875,4
python,江苏省,15000,1
python,陕西省,9375,4
python,河南省,8400,5
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,14000,2
python,山西省,12500,1
python,河北省,10000,1
python,甘肃省,13000,1
python,山东省,7000,1
python,重庆市,8773,97
python,北京市,15708,6
python,广东省,21166,6
python,浙江省,9000,2
python,四川省,14000,7
python,上海市,18875,4
python,江苏省,15000,1
python,陕西省,9375,4
python,河南省,8400,5
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,14000,2
python,山西省,12500,1
python,河北省,10000,1
python,甘肃省,13000,1
python,山东省,7250,2
python,重庆市,8773,97
python,北京市,15708,6
python,广东省,21166,6
python,浙江省,9000,2
python,四川省,14000,7
python,上海市,18875,4
python,江苏省,15000,1
python,陕西省,9375,4
python,河南省,7250,6
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,14000,2
python,山西省,12500,1
python,河北省,10000,1
python,甘肃省,13000,1
python,山东省,7250,2
python,重庆市,8773,97
python,北京市,15708,6
python,广东省,18785,7
python,浙江省,9000,2
python,四川省,14000,7
python,上海市,18875,4
python,江苏省,15000,1
python,陕西省,9375,4
python,河南省,7250,6
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,14000,2
python,山西省,12500,1
python,河北省,10000,1
python,甘肃省,13000,1
python,山东省,7250,2
python,重庆市,8773,97
python,北京市,15708,6
python,广东省,18785,7
python,浙江省,9000,2
python,四川省,13250,8
python,上海市,18875,4
python,江苏省,15000,1
python,陕西省,9375,4
python,河南省,7250,6
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,14000,2
python,山西省,12500,1
python,河北省,10000,1
python,甘肃省,13000,1
python,山东省,7250,2
python,重庆市,8773,97
python,北京市,15708,6
python,广东省,18785,7
python,浙江省,9000,2
python,四川省,12166,9
python,上海市,18875,4
python,江苏省,15000,1
python,陕西省,9375,4
python,河南省,7250,6
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,14000,2
python,山西省,12500,1
python,河北省,10000,1
python,甘肃省,13000,1
python,山东省,7250,2
python,重庆市,8773,97
python,北京市,15708,6
python,广东省,18785,7
python,浙江省,9000,2
python,四川省,12166,9
python,上海市,18875,4
python,江苏省,15000,1
python,陕西省,9375,4
python,河南省,7250,6
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,14000,2
python,山西省,12500,1
python,河北省,10000,1
python,甘肃省,13000,1
python,山东省,7250,2
python,辽宁省,19000,1
python,重庆市,8773,97
python,北京市,15708,6
python,广东省,18785,7
python,浙江省,9000,2
python,四川省,12166,9
python,上海市,18875,4
python,江苏省,15250,2
python,陕西省,9375,4
python,河南省,7250,6
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,14000,2
python,山西省,12500,1
python,河北省,10000,1
python,甘肃省,13000,1
python,山东省,7250,2
python,辽宁省,19000,1
python,重庆市,8773,97
python,北京市,15708,6
python,广东省,18785,7
python,浙江省,9000,2
python,四川省,12166,9
python,上海市,18875,4
python,江苏省,15250,2
python,陕西省,9375,4
python,河南省,7250,6
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,14000,2
python,山西省,12500,1
python,河北省,10000,1
python,甘肃省,13000,1
python,山东省,7250,2
python,辽宁省,19000,1
python,黑龙江省,6500,1
python,重庆市,8773,97
python,北京市,15708,6
python,广东省,18785,7
python,浙江省,8666,3
python,四川省,12166,9
python,上海市,18875,4
python,江苏省,15250,2
python,陕西省,9375,4
python,河南省,7250,6
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,14000,2
python,山西省,12500,1
python,河北省,10000,1
python,甘肃省,13000,1
python,山东省,7250,2
python,辽宁省,19000,1
python,黑龙江省,6500,1
python,重庆市,8773,97
python,北京市,15708,6
python,广东省,18785,7
python,浙江省,8666,3
python,四川省,12166,9
python,上海市,18875,4
python,江苏省,13500,3
python,陕西省,9375,4
python,河南省,7250,6
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,14000,2
python,山西省,12500,1
python,河北省,10000,1
python,甘肃省,13000,1
python,山东省,7250,2
python,辽宁省,19000,1
python,黑龙江省,6500,1
python,重庆市,8773,97
python,北京市,15708,6
python,广东省,18785,7
python,浙江省,8666,3
python,四川省,12166,9
python,上海市,18875,4
python,江苏省,13750,4
python,陕西省,9375,4
python,河南省,7250,6
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,14000,2
python,山西省,12500,1
python,河北省,10000,1
python,甘肃省,13000,1
python,山东省,7250,2
python,辽宁省,19000,1
python,黑龙江省,6500,1
python,重庆市,8773,97
python,北京市,15708,6
python,广东省,18785,7
python,浙江省,8666,3
python,四川省,12166,9
python,上海市,18875,4
python,江苏省,13750,4
python,陕西省,9100,5
python,河南省,7250,6
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,14000,2
python,山西省,12500,1
python,河北省,10000,1
python,甘肃省,13000,1
python,山东省,7250,2
python,辽宁省,19000,1
python,黑龙江省,6500,1
python,重庆市,8773,97
python,北京市,15708,6
python,广东省,18785,7
python,浙江省,8666,3
python,四川省,12000,10
python,上海市,18875,4
python,江苏省,13750,4
python,陕西省,9100,5
python,河南省,7250,6
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,14000,2
python,山西省,12500,1
python,河北省,10000,1
python,甘肃省,13000,1
python,山东省,7250,2
python,辽宁省,19000,1
python,黑龙江省,6500,1
python,重庆市,8773,97
python,北京市,15708,6
python,广东省,18785,7
python,浙江省,8666,3
python,四川省,12000,10
python,上海市,18875,4
python,江苏省,13750,4
python,陕西省,9100,5
python,河南省,7857,7
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,14000,2
python,山西省,12500,1
python,河北省,10000,1
python,甘肃省,13000,1
python,山东省,7250,2
python,辽宁省,19000,1
python,黑龙江省,6500,1
python,重庆市,8773,97
python,北京市,15708,6
python,广东省,18785,7
python,浙江省,8666,3
python,四川省,12000,10
python,上海市,18875,4
python,江苏省,13750,4
python,陕西省,9100,5
python,河南省,7857,7
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,14000,2
python,山西省,12500,1
python,河北省,10000,1
python,甘肃省,13000,1
python,山东省,10500,3
python,辽宁省,19000,1
python,黑龙江省,6500,1
python,重庆市,8773,97
python,北京市,15708,6
python,广东省,18785,7
python,浙江省,8666,3
python,四川省,12000,10
python,上海市,18875,4
python,江苏省,13750,4
python,陕西省,9100,5
python,河南省,7812,8
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,14000,2
python,山西省,12500,1
python,河北省,10000,1
python,甘肃省,13000,1
python,山东省,10500,3
python,辽宁省,19000,1
python,黑龙江省,6500,1
python,重庆市,8773,97
python,北京市,15708,6
python,广东省,18785,7
python,浙江省,8666,3
python,四川省,12000,10
python,上海市,18875,4
python,江苏省,13750,4
python,陕西省,9100,5
python,河南省,7812,8
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,14000,2
python,山西省,10250,2
python,河北省,10000,1
python,甘肃省,13000,1
python,山东省,10500,3
python,辽宁省,19000,1
python,黑龙江省,6500,1
python,重庆市,8773,97
python,北京市,15708,6
python,广东省,18785,7
python,浙江省,8666,3
python,四川省,12000,10
python,上海市,18875,4
python,江苏省,13750,4
python,陕西省,9100,5
python,河南省,7812,8
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,14000,2
python,山西省,10250,2
python,河北省,10000,1
python,甘肃省,13000,1
python,山东省,10500,3
python,辽宁省,14250,2
python,黑龙江省,6500,1
python,重庆市,8773,97
python,北京市,15708,6
python,广东省,18785,7
python,浙江省,8666,3
python,四川省,12000,10
python,上海市,18875,4
python,江苏省,13750,4
python,陕西省,8833,6
python,河南省,7812,8
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,14000,2
python,山西省,10250,2
python,河北省,10000,1
python,甘肃省,13000,1
python,山东省,10500,3
python,辽宁省,14250,2
python,黑龙江省,6500,1
python,重庆市,8773,97
python,北京市,15708,6
python,广东省,18785,7
python,浙江省,8666,3
python,四川省,12000,10
python,上海市,18875,4
python,江苏省,12200,5
python,陕西省,8833,6
python,河南省,7812,8
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,14000,2
python,山西省,10250,2
python,河北省,10000,1
python,甘肃省,13000,1
python,山东省,10500,3
python,辽宁省,14250,2
python,黑龙江省,6500,1
python,重庆市,8773,97
python,北京市,15708,6
python,广东省,18785,7
python,浙江省,8666,3
python,四川省,12000,10
python,上海市,18875,4
python,江苏省,12200,5
python,陕西省,8833,6
python,河南省,7812,8
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,14000,2
python,山西省,10250,2
python,河北省,8750,2
python,甘肃省,13000,1
python,山东省,10500,3
python,辽宁省,14250,2
python,黑龙江省,6500,1
python,重庆市,8773,97
python,北京市,15708,6
python,广东省,18785,7
python,浙江省,8666,3
python,四川省,12000,10
python,上海市,18875,4
python,江苏省,12200,5
python,陕西省,8833,6
python,河南省,8333,9
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,14000,2
python,山西省,10250,2
python,河北省,8750,2
python,甘肃省,13000,1
python,山东省,10500,3
python,辽宁省,14250,2
python,黑龙江省,6500,1
python,重庆市,8773,97
python,北京市,15708,6
python,广东省,18785,7
python,浙江省,8666,3
python,四川省,12000,10
python,上海市,18875,4
python,江苏省,12200,5
python,陕西省,9571,7
python,河南省,8333,9
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,14000,2
python,山西省,10250,2
python,河北省,8750,2
python,甘肃省,13000,1
python,山东省,10500,3
python,辽宁省,14250,2
python,黑龙江省,6500,1
python,重庆市,8773,97
python,北京市,15708,6
python,广东省,18785,7
python,浙江省,8666,3
python,四川省,12000,10
python,上海市,18875,4
python,江苏省,12200,5
python,陕西省,9571,7
python,河南省,8333,9
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,14000,2
python,山西省,10250,2
python,河北省,8750,2
python,甘肃省,13000,1
python,山东省,10500,3
python,辽宁省,14250,2
python,黑龙江省,6500,1
python,湖南省,19000,1
python,重庆市,8773,97
python,北京市,15708,6
python,广东省,18785,7
python,浙江省,8666,3
python,四川省,12000,10
python,上海市,18875,4
python,江苏省,12200,5
python,陕西省,10500,8
python,河南省,8333,9
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,14000,2
python,山西省,10250,2
python,河北省,8750,2
python,甘肃省,13000,1
python,山东省,10500,3
python,辽宁省,14250,2
python,黑龙江省,6500,1
python,湖南省,19000,1
python,重庆市,8773,97
python,北京市,15708,6
python,广东省,18785,7
python,浙江省,8666,3
python,四川省,12000,10
python,上海市,18875,4
python,江苏省,12200,5
python,陕西省,10666,9
python,河南省,8333,9
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,14000,2
python,山西省,10250,2
python,河北省,8750,2
python,甘肃省,13000,1
python,山东省,10500,3
python,辽宁省,14250,2
python,黑龙江省,6500,1
python,湖南省,19000,1
python,重庆市,8773,97
python,北京市,15708,6
python,广东省,18785,7
python,浙江省,8666,3
python,四川省,12000,10
python,上海市,18875,4
python,江苏省,12200,5
python,陕西省,10666,9
python,河南省,8250,10
python,贵州省,5750,2
python,天津市,1500,1
python,福建省,5500,2
python,吉林省,14500,1
python,湖北省,14000,2
python,山西省,10250,2
python,河北省,8750,2
python,甘肃省,13000,1
python,山东省,10500,3
python,辽宁省,14250,2
python,黑龙江省,6500,1
python,湖南省,19000,1
python,重庆市,8773,97
python,北京市,15708,6
python,广东省,18785,7
python,浙江省,8666,3
python,四川省,12000,10
python,上海市,18875,4
python,江苏省,12200,5
python,陕西省,10666,9
python,河南省,8250,10
python,贵州省,5750,2
python,天津市,1500,1
