id,position,city,company,salary,experience,education,industry,skills,benefits
729,python开发,深圳,软通动力信息技术(集团)股份有限公司,1.4-1.7万,3-5年,本科,互联网,"Python, Flask, Django, FASTAPI, PARSER, 自动化数据, ETL",
730,python开发工程师,惠州,广东利元亨智能装备股份有限公司,7000-13000元,1-3年,本科,电气机械/电力设备,"深度学习, 机器学习",
731,T-Python开发工程师,成都,中软国际,面议,1-3年,本科,计算机软件,"Shell, Django, Python",
732,python开发工程师,杭州,软通动力信息技术(集团)股份有限公司,1-1.8万,1-3年,本科,互联网,"Django, Python, MySQL",
733,Python开发工程师,长沙,海龙国际,1.5-2万,3-5年,本科,互联网,"Python, Odoo, FASTAP",
734,全栈开发工程师( Python 开发）,上海,上海映凡机电科技有限公司,3-5.5万,3-5年,本科,电气机械/电力设备,,
735,python后端开发工程师,南京,软通动力信息技术(集团)股份有限公司,1.2-1.6万,3-5年,本科,互联网,Python,
736,python大模型工程师,南京,爱动超越人工智能科技(北京)有限责任公司,1.4-1.7万,3-5年,本科,互联网,"Java, Python",
737,Python开发工程师（大模型方向）,北京,北京广监云科技有限公司,1.6-2万,3-5年,本科,人工智能,MYSQL/POSTGRESQL,
738,python测试/python开发,上海,软通动力信息技术(集团)股份有限公司,1-2万,1-3年,本科,互联网,"Python, PyCharm, Linux, 数据库, 后端开发, TCP/IP","单位体检, 五险一金, 绩效奖金, 周末双休, 带薪假期, 加班补贴, 交通补贴"
739,后端python工程师,天津,北京思想信息技术有限公司,1.2-1.7万,3-5年,本科,企业服务,"Python, C++",
740,python开发工程师(工业),南京,科锐尔人力资源服务(苏州)有限公司,1.5-2万,3-5年,本科,咨询服务,"PHP, Tornado, Flask, PyQt, MySQL, PostgreSQL, NoSQL, 三维渲染",
741,python开发,上海,软通动力信息技术(集团)股份有限公司,1-1.5万,3-5年,大专,互联网,"Python, Django, Tornado, MySQL, PostgreSQL, Oracle",
742,Python开发,广州,宇信科技,1.3-1.5万·13薪,3-5年,本科,IT服务,"Django, Tornado, Scrapy",
743,后端开发（python开发工程师方向）,上海,北京环宇科创管理咨询有限公司,1.6-3万,3-5年,本科,通信/网络设备,"Java, Python, Django, Flask, SPRING CLOUD, MySQL, Redis, 大数据架构, 高并发",
744,python后端开发工程师,佛山,湖南拓维云创科技有限责任公司,1.5-1.7万,5-10年,大专,互联网,Python,
745,Python开发,杭州,软通动力信息技术(集团)股份有限公司,1-1.7万,1-3年,本科,互联网,Django,
746,Python研发工程师,苏州,北京中勘迈普科技有限公司,7000-9000元,1-3年,本科,专业技术服务,Python,
747,Python开发工程师,北京,曼迪匹艾(北京)科技服务有限公司,1.3-2.4万,3-5年,本科,新闻/出版,"Python, FASTAPI, 后端开发, 数据处理, ETL","单位体检, 带薪假期, 六险一金, 节日福利"
