id,position,city,company,salary,experience,education,industry,skills,benefits
1047,Python开发工程师,成都,成都人形机器人创新中心有限公司,1-1.2万·13薪,3-5年,本科,人工智能,"API, linux",
1048,python后端开发工程师（大健康）,成都,卓世科技(海南)有限公司,1.5-3万·14薪,3-5年,本科,人工智能,晋升空间大,晋升空间大
1049,A-应用平台-027-Python后端,成都,博彦科技承德有限公司,1.3-1.4万,1-3年,本科,IT服务,"Shell, Sql, Django, PyQt, NoSQL, MySQL, MongoDB",
1050,python后端开发工程师,深圳,中软国际,面议,3-5年,本科,计算机软件,"C++, Django, Flask",
1051,Python开发,深圳,软通动力信息技术(集团)股份有限公司,1-1.5万,1-3年,本科,互联网,"MySQL, Django",
1052,Python开发工程师,北京,北京文泽智远信息技术有限公司,1.5-2万,3-5年,本科,计算机软件,"Python, 后端开发","五险一金, 周末双休, 节日福利, 餐饮补贴"
1053,python后端开发工程师,西安,润和软件,1-1.7万,3-5年,本科,计算机软件,"C++, C, Python, 云服务器, linux, Docker, PYTHON开发, 驱动开发",
1054,Python开发工程师,深圳,深圳市数智壹号新技术有限公司,1-1.5万·13薪,1-3年,本科,互联网,"Java, JavaScript, MySQL, SQLServer",
1055,python开发,上海,软通动力信息技术(集团)股份有限公司,1.1-1.7万,1-3年,本科,互联网,"MongoDB, SQLServer",
1056,python开发,深圳,中软国际,面议,3-5年,本科,计算机软件,Django,
1057,python后端开发工程师,南京,江苏易启策网络科技有限公司,1.2-2万·14薪,3-5年,本科,互联网,"Java, Flask, Redis, OpenCV","团建福利, 单位体检, 五险一金, 团建旅游, 零食/下午茶, 五险, 项目奖金"
1058,python中高级 银行外包岗 学信本双证,北京,北京南天软件有限公司,1.5-2万·13薪,5-10年,本科,计算机软件,"Python, Docker, MySQL",
1059,python开发,南京,中软国际,面议,1-3年,本科,计算机软件,Python,
1060,Python开发工程师,深圳,深圳市睿服科技有限公司,1.4-2万,1-3年,本科,IT服务,"Python, Linux","五险一金, 绩效奖金, 带薪假期, 节日福利, 周末双休"
1061,python后端开发工程师,上海,上海兼达信息技术服务有限公司,1.3-1.5万,3-5年,本科,计算机软件,"Python, Django, Flask",
1062,Python后台开发,北京,文信博易(北京)科技有限公司,1.8-3万·13薪,5-10年,本科,人工智能,"Python, PADDLE, TensorFlow, pytorch",
1063,python开发,东莞,软通动力信息技术(集团)股份有限公司,1-2万,1-3年,本科,互联网,"Python web框架, Python并发框架, 移动开发, 全栈开发, 深度学习框架, HBase, PostgreSQL, Oracle","住房补贴, 五险一金, 绩效奖金, 包住, 包吃, 十三薪, 加班补贴"
1064,python高级开发工程师,武汉,武汉中科坤程信息产业有限公司,1-1.5万,5-10年,本科,计算机软件,Python,
1065,python数据开发工程师,烟台,山东威尔数据股份有限公司,8000-16000元,5-10年,本科,计算机软件,"Python web框架, Python并发框架, Python可视化库, Python爬虫框架, 后端开发","奖金加提成, 节日福利, 六险一金"
1066,python高级开发工程师,杭州,软通动力信息技术(集团)股份有限公司,2.4-2.7万,5-10年,本科,互联网,"Python, HTTP, HTML, RPC","五险, 包吃, 五险一金, 周末双休"
1067,Python全栈开发工程师,上海,上海洛书投资管理有限公司,1.5-2万,1-3年,本科,基金,"Python, 全栈",
1068,Python人工智能高级讲师,合肥,合肥红青职业技术培训学校有限公司,1-1.5万,3-5年,本科,计算机软件,"数据分析, ETL, Python, AI大模型, 生成式人工智能",
1069,python后端开发工程师,上海,北京南天信息工程有限公司,1.1-1.8万,5-10年,本科,计算机软件,"Python, RPA",
1070,Python开发工程师,深圳,中软国际,面议,1-3年,本科,计算机软件,"Python, 机器学习, 数据挖掘, TensorFlow, python爬虫, Flask","单位体检, 五险一金, 绩效奖金, 带薪假期, 节日福利, 周末双休, 加班补贴, 涨薪"
1071,python算法工程师,成都,成都西交轨道交通技术服务有限公司,2-2.5万,5-10年,本科,电气机械/电力设备,,
1072,python开发-AI,北京,软通动力信息技术(集团)股份有限公司,1.6-2万,3-5年,本科,互联网,"Java, Sql, C++, Python, Golang, Docker, API",
1073,python开发工程师,广州,广州西麦科技股份有限公司,1-1.6万,3-5年,本科,计算机软件,Python,
1074,python后端开发工程师,北京,南京经纬信安科技有限公司,8000-15000元,3-5年,本科,通信/网络设备,"Shell, Redis, MongoDB, MySQL",
1075,W-Python-上海沐曦,上海,中软国际,面议,5-10年,本科,计算机软件,"MySQL, PostgreSQL, Django, Flask",
1076,python后端开发工程师,武汉,软通动力信息技术(集团)股份有限公司,9000-13000元,3-5年,本科,互联网,"PyQt, NumPy, Pandas",
1077,python后端开发实习生,南京,南京天洑软件有限公司,100-150元/天,无经验,硕士,计算机软件,Python,
1078,Python开发工程师,上海,北京瑞友科技股份有限公司,2-2.8万·13薪,5-10年,本科,互联网,"Python, 后端开发, MySQL","单位体检, 年终奖金, 五险一金, 周末双休, 节日福利, 带薪假期"
1079,Python开发工程师,成都,成都华茂能联科技有限公司,1.5-3万,1-3年,本科,电力/水利/热力/燃气,"Linux, Python",
1080,python后端开发工程师,成都,博彦科技承德有限公司,1.3-1.4万,1-3年,本科,IT服务,Python,
1081,急招集团大数据总监（朝阳行业~）,合肥,爱谱华顿,1.5-2.5万,5-10年,本科,电子/半导体/集成电路,,
1082,大数据总监,北京,北京国融工发投资管理有限公司,3-3.5万,5-10年,本科,基金,"大数据开发, 数据库开发, 数据建模",
1083,大数据专员（双休）,南京,福州黄飞茶业有限公司,7000-10000元,经验不限,大专,零售/批发,"数据分析, 五险一金, 双休","五险一金, 全勤奖金, 周末双休"
1084,急招集团大数据总监（朝阳行业~）,上海,爱谱华顿,1.5-2.5万,5-10年,本科,电子/半导体/集成电路,,
1085,大数据Java开发工程师,北京,广联达,2-2.5万,5-10年,本科,计算机软件,"ETL, Java, Flink, Hadoop, Kafka",
1086,大数据专员（双休）,合肥,福州黄飞茶业有限公司,7000-10000元,经验不限,大专,零售/批发,"数据分析, 五险一金, 双休","五险一金, 全勤奖金, 周末双休"
1087,大数据总监,合肥,爱谱华顿,1.8-3万,5-10年,本科,电子/半导体/集成电路,"数据库开发, 数据仓库, 数据治理",
1088,大数据开发助理（五险一金+双休）,成都,四川盛达锐杰信息技术有限公司,5000-8000元,经验不限,大专,通信/网络设备,"数据架构, 数据挖掘, 数据库开发, Sql, Java, Python","年终分红, 绩效奖金, 包住, 周末双休, 五险一金, 全勤奖金, 单位体检, 住房补贴, 十三薪"
1089,大数据专员（双休）,杭州,福州黄飞茶业有限公司,7000-10000元,经验不限,大专,零售/批发,"数据分析, 五险一金, 双休","五险一金, 全勤奖金, 周末双休"
1090,大数据开发实习生,合肥,江西上签商务咨询有限公司,8000-10000元,经验不限,大专,物联网,"Java, Sql, Python","单位体检, 绩效奖金, 带薪假期, 周末双休, 交通补贴, 团建福利, 十三薪, 六险两金, 项目奖金"
1091,大数据开发实习生,武汉,武汉浩洋启汇机械科技有限公司,4000-6000元·13薪,经验不限,大专,计算机硬件,"数据治理, 数据架构, 数据库开发, 数据分析, 数据处理","年终分红, 绩效奖金, 包住, 五险一金, 全勤奖金, 周末双休, 单位体检, 住房补贴, 十三薪"
1092,大数据专员（双休）,厦门,福州黄飞茶业有限公司,7000-10000元,经验不限,大专,零售/批发,"数据分析, 五险一金, 双休","五险一金, 全勤奖金, 周末双休"
1093,大数据开发实习生,西安,江西上签商务咨询有限公司,8000-10000元,经验不限,大专,物联网,"Java, Sql, Python","单位体检, 绩效奖金, 带薪假期, 周末双休, 交通补贴, 团建福利, 十三薪, 六险两金, 项目奖金"
1094,2 大数据就业，长白双休,长春,吉林省迅威人力资源有限公司,6000-7000元,1-3年,大专,人力资源服务,,"签订劳动合同, 周末双休, 五险一金"
1095,大数据专员（双休）,上海,福州黄飞茶业有限公司,7000-10000元,经验不限,大专,零售/批发,"数据分析, 五险一金, 双休","五险一金, 全勤奖金, 周末双休"
1096,大数据销售,青岛,环球慧思数据技术有限公司,1-2万,经验不限,大专,互联网,"互联网行业, 企业客户（2B）, 大客户（KA）, 软件行业, 人工智能","年终分红, 节日福利, 五险一金, 绩效奖金, 带薪假期, 年终奖金, 奖金加提成, 月度奖金, 周末双休, 季度奖金, 拓展培训, 涨薪, 带薪培训, 高提成"
1097,大数据服务,邯郸,河北峰点信息服务有限公司,5000-8000元,经验不限,大专,IT服务,数据库开发,
1098,大数据专员（双休）,苏州,福州黄飞茶业有限公司,7000-10000元,经验不限,大专,零售/批发,"数据分析, 五险一金, 双休","五险一金, 全勤奖金, 周末双休"
1099,校招~接受无经验/ai大数据方向顾问/带薪培训,武汉,探迹科技,1-1.8万,无经验,大专,互联网,"企业客户, 个人客户","体检免费, 五险一金, 奖金加提成, 带薪假期, 餐饮补贴, 晋升空间大, 零食/下午茶, 五险, 周末双休, 节日福利, 六险一金, 带薪培训, 高提成"
1100,大数据开发助理/可实习,贵阳,贵州满晟科技有限公司,5000-8000元,经验不限,大专,企业服务,"数据治理, 数据架构, 数据挖掘, Sql, Python, Shell, Hadoop","五险一金, 环境好, 周末双休, 包住, 绩效奖金, 餐饮补贴"
1101,2 大数据就业，长白双休,长春,吉林省迅威人力资源有限公司,6000-7000元,1-3年,大专,人力资源服务,,"签订劳动合同, 周末双休, 五险一金"
1102,开单快/双休ai大数据顾问/当月发薪,武汉,探迹科技,1-1.8万,无经验,大专,互联网,"售前客服, 电话客服, VIP客服, 全白班","体检免费, 五险一金, 奖金加提成, 带薪假期, 周末双休, 高提成, 晋升空间大, 零食/下午茶, 五险, 节日福利, 六险一金, 带薪培训"
1103,大数据-运营（五险一金+零经验+免费培训）,宝鸡,宝鸡青蜂电子商务有限公司,5000-7000元,经验不限,本科,快速消费品,数据挖掘,"五险, 五险一金, 带薪培训, 无责底薪, 年轻化团队"
1104,大数据开发实习生,广州,江西上签商务咨询有限公司,8000-10000元,经验不限,大专,物联网,"Java, Sql, Python","单位体检, 绩效奖金, 带薪假期, 周末双休, 交通补贴, 团建福利, 十三薪, 六险两金, 项目奖金"
1105,大数据开发实习生,武汉,武汉嘉利锦信息技术有限公司,4000-6000元·13薪,经验不限,大专,计算机软件,"数据治理, 数据架构, 数据库开发, 数据分析, 数据处理","年终分红, 绩效奖金, 包住, 五险一金, 全勤奖金, 周末双休, 单位体检, 住房补贴, 十三薪"
1106,大数据工程师,石家庄,石家庄寒凡电子科技有限公司,5000-8000元·13薪,经验不限,大专,计算机软件,"数据治理, Sql, Hadoop",
1107,大数据开发工程师,郑州,河南亚菲品牌策划有限公司,5000-8000元,经验不限,大专,互联网,"大数据开发, 数据分析, Linux, Java, 数据库开发, SQL Server, Flink, 大数据分析","年终分红, 单位体检, 五险一金, 绩效奖金, 全勤奖金, 周末双休, 十三薪"
1108,双休ai大数据拓客软件销售/可小白/福利待遇好,武汉,探迹科技,9000-18000元,无经验,大专,互联网,"企业客户, 个人客户, KA大客户","奖金加提成, 带薪假期, 周末双休, 高提成, 五险一金, 餐饮补贴, 无责底薪, 全勤奖金, 带薪培训, 一对一培训"
1109,数据仓库实习生,济南,济南小帅出行科技有限公司,4000-8000元,经验不限,大专,物联网,"数据运维, Oracle, MySQL",
1110,大数据销售,南京,环球慧思数据技术有限公司,5000-10000元,经验不限,大专,互联网,,"年终分红, 五险一金, 法定节假日休, 带薪假期, 无责底薪, 奖金加提成, 交通补贴, 节日福利, 月度奖金, 季度奖金, 高提成, 周末双休, 团建福利, 年终奖金, 绩效奖金"
1111,双休电话邀约客服/ai大数据软件/可小白,武汉,探迹科技,8000-16000元,经验不限,学历不限,互联网,"售后客服, 售前客服, 全白班, 网络客服","高提成, 周末双休, 餐饮补贴, 住房公积金, 奖金加提成, 带薪假期, 五险, 无责底薪, 全勤奖金, 带薪培训, 一对一培训"
1112,Ai图像大数据与识别实习生,天津,承亿(天津)科技有限公司,4000-6000元,经验不限,大专,计算机软件,,
1113,大数据开发工程师（23/24届）,上海,东营网新信息科技有限公司,8000-15000元,无经验,本科,通信/网络设备,"数据架构, 数据挖掘, Sql, Java",
1114,AI大数据软件销售,台州,企知道大数据科技有限公司,7000-12000元,无经验,大专,专业技术服务,"企业客户, 电话销售, 面销/陌拜, 科技项目申报, 软件销售","五险一金, 带薪假期, 年终奖金, 带薪培训, 五险, 无责底薪, 节日福利, 高提成, 七险一金, 生日福利"
1115,天津武清区大数据园区保安,天津,四川滨达物业管理有限公司,4000-5000元,经验不限,学历不限,物业管理,巡逻岗,包吃包住
1116,大数据实习,重庆,重庆喜相连科技有限公司,5000-7000元·13薪,经验不限,大专,互联网,"数据分析, 数据处理",
1117,大数据开发助理,郑州,郑州走南闯北物流有限公司,6000-10000元,经验不限,学历不限,货运/物流/仓储,"数据治理, 数据架构, 数据挖掘","年终分红, 绩效奖金, 包住, 五险一金, 全勤奖金, 周末双休, 住房补贴, 十三薪"
1118,大数据实时流开发高级工程师,广州,彩讯科技股份有限公司,1.3-1.5万,5-10年,大专,计算机软件,"实时流开发, SPRINGBOOT, 数据建模, 数据库开发, 大数据开发",
1119,大数据架构师,南昌,南昌盛选驰科技有限公司,6000-8000元,经验不限,本科,电子商务,"数据调研, Java, Python, 数据建模, 数据采集, ODPS sql, 数仓开发",
1120,智能语音产品测试-AI/大数据产品测试,武汉,软通动力信息技术(集团)股份有限公司,8000-9000元,3-5年,大专,互联网,"语音测试, 智能产品/手机测试, JIRA",
1121,大数据销售 周末双休 五险一金 高薪高能,青岛,环球慧思数据技术有限公司,8000-16000元,经验不限,大专,互联网,"互联网金融, IT服务, 外贸/进出口, 电销, 网络销售, 面销, 大客户（KA）, 企业客户","年终分红, 五险一金, 晋升公开透明, 无责底薪, 奖金加提成, 节日福利, 月度奖金, 季度奖金, 周末双休, 团建福利, 年终奖金, 高提成, 拓展培训, 绩效奖金, 带薪假期"
1122,人工智能大数据标注,南阳,南阳锐丰信息科技有限公司,3000-6000元,经验不限,大专,人工智能,"图像标注, 视频标注, 文本标注","奖金加提成, 绩效奖金, 法定节假日休"
1123,大数据开发工程师,金昌,重庆摩恩少特科技有限公司,8000-12000元,5-10年,学历不限,计算机软件,"数据架构, 数据仓库, 数据中台开发, Flink, Elasticsearch",
1124,大数据测试工程师,贵阳,贵州升聚科技有限公司,4000-8000元,经验不限,学历不限,新媒体,软件测试,"五险一金, 周末双休"
1125,外呼邀约销售顾问/ai大数据软件/可小白,武汉,探迹科技,1-2万,经验不限,学历不限,互联网,"KA大客户, 企业客户, 个人客户","奖金加提成, 带薪假期, 高提成, 五险, 餐饮补贴, 无责底薪, 全勤奖金, 周末双休, 带薪培训, 一对一培训, 住房公积金"
1126,AI大数据处理销售,成都,四川信晟德科技有限公司,8000-15000元,1-3年,大专,互联网,"企业客户, 个人客户","优秀员工奖, 拓展培训, 零食/下午茶"
1127,大数据分析实习生,沈阳,辽宁亿霖网络科技有限公司,5000-8000元·13薪,经验不限,大专,云计算/大数据,"Java, 商业数据分析, 运营数据分析, 销售数据分析, 财务数据分析, 金融数据分析, 风控数据分析","绩效奖金, 包住, 五险, 差旅补贴, 团建福利, 加班补贴, 住房公积金"
1128,大数据开发工程师,郑州,唐雅网络科技,7000-12000元,经验不限,本科,计算机软件,计算机相关专业,包住
1129,2025校园-暖通/电气工程师--广灵大数据产业园,大同,恒华数字科技集团有限公司,4000-8000元·13薪,无经验,大专,云计算/大数据,"暖通运维, 通风工程, 空调工程, 消防工程","五险一金, 六险一金, 包住, 节日福利"
1130,大数据信息技术专员,天津,天津图淼科技发展有限公司,3000-6000元,经验不限,大专,互联网,数据分析 数据处理,"带薪假期, 团建福利, 法定节假日休, 五险一金, 绩效奖金, 加班补贴, 生日福利, 婚丧嫁娶慰问, 节日福利"
1131,AI大数据软件客户开发（电话开发意向/无成交压力）,武汉,探迹科技,8000-14000元,经验不限,大专,互联网,"售前客服, 售后客服, 电话客服, 电话销售, 软件销售, B端销售","高提成, 餐饮补贴, 周末双休, 奖金加提成, 带薪假期, 五险一金, 带薪培训, 一对一培训"
1132,大数据开发工程师,济南,山东阿珂润数据科技有限公司,6000-8000元·13薪,经验不限,学历不限,互联网,"ETL, 数据仓库, 数据库开发, Sql",
1133,大数据销售经理,青岛,环球慧思数据技术有限公司,1.1-2.2万·13薪,经验不限,大专,互联网,"互联网行业, 企业客户（2B）, 大客户（KA）, 院校客户, 销售主管, 电话销售, 网络销售, 面销","五险一金, 绩效奖金, 差旅补贴, 现金福利, 拓展培训, 周末双休, 年终奖金, 法定节假日休"
1134,跨境网络案件人工智能大数据分析师,北京,国开青旅集团有限公司,1.1-2.2万·14薪,经验不限,学历不限,房地产开发,,
1135,打打电话就可以开单/ai大数据产品方向/高薪当月发工资,武汉,探迹科技,1-1.8万,无经验,大专,互联网,"企业客户, 个人客户","奖金加提成, 带薪假期, 高提成, 五险一金, 餐饮补贴, 无责底薪, 全勤奖金, 带薪培训, 一对一培训"
1136,中职大数据教师,新乡,新乡市拓晋科技中等专业学校,5000-6000元,经验不限,本科,学校/学历教育,,"奖金加提成, 生日福利, 带薪假期, 五险, 节日福利, 周末双休"
1137,大数据开发助理（不限专业）,深圳,深圳市聚业自动化技术有限公司,6000-9000元·13薪,经验不限,大专,工业自动化,"数据治理, Python",
1138,大数据工程师（助教）,百色,北京中科特瑞科技有限公司,5000-7000元,经验不限,本科,计算机软件,"大数据开发, 数据挖掘, 数仓开发, Spark, Hadoop, Hive, MySQL, Java, Python","单位体检, 五险一金, 节日福利, 年终奖金, 寒暑假"
1139,大数据保安员岗,南京,江苏士晟保安服务有限公司,4000-5000元,经验不限,学历不限,物业管理,"包吃包住, 弹性工作制, 全职, 写字楼, 全白班, 节日礼品福利","节日福利, 包吃包住"
1140,跨境网络案件人工智能大数据分析师,郑州,国开青旅集团有限公司,1.1-2.2万·14薪,经验不限,学历不限,房地产开发,,
1141,大数据开发工程师,鹤壁,郑州煦秋信息科技有限公司,6000-8000元,经验不限,学历不限,计算机软件,"数据挖掘, 数据湖, 数仓开发, 数据平台, 数据中台, 报表开发, Python, Yarn, HDFS","年终分红, 单位体检, 五险一金, 绩效奖金, 全勤奖金, 周末双休, 十三薪"
1142,菁英计划（大数据）(J12629),临沂,青岛啤酒,6000-8000元,经验不限,本科,快速消费品,"大数据, 统计学, 数据分析",
1143,大数据开发助理,合肥,安徽雅云晖智能科技有限公司,5000-6000元,经验不限,大专,计算机软件,"数据治理, Sql, Hadoop",包住
1144,【标注审核】（盐城大数据产业园）,盐城,软通动力信息技术(集团)股份有限公司,5000-8000元,1-3年,大专,互联网,,"交通补贴, 绩效奖金"
1145,大数据把我推给有需要的人（小车司机）,长沙,与灿同行(武汉)科技有限公司,9000-13000元,经验不限,学历不限,在线生活服务（O2O）,"C1驾驶证, C2驾驶证",
1146,跨境网络案件人工智能大数据分析师,海口,国开青旅集团有限公司,1.1-2.2万·14薪,经验不限,学历不限,房地产开发,,
1147,大数据分析工程师,西安,西安正麦科技有限公司,6000-12000元,经验不限,本科,计算机软件,,
1148,大数据请把我推给想7天挣出2500的人！,厦门,广州野马科技有限公司,1-1.4万,无经验,学历不限,餐饮服务,"饿了么, 可预支薪水, 0元入职, 提供车住, 新人福利, 高温补贴","高温补贴, 包住, 奖金加提成, 全勤奖金, 高提成, 住房补贴, 年终奖金, 通讯补贴, 餐饮补贴, 交通补贴, 可预支薪水"
1149,跨境网络案件人工智能大数据分析师,武汉,国开青旅集团有限公司,1.1-2.2万·14薪,经验不限,学历不限,房地产开发,,
1150,大数据开发工程师（23/24届）,广州,东营网新信息科技有限公司,8000-15000元,无经验,本科,通信/网络设备,"数据架构, 数据挖掘, Sql, Java",
1151,大数据销售,淄博,山东隆众信息技术有限公司,4000-8000元,经验不限,大专,互联网,"双休, 五险一金","五险一金, 绩效奖金, 周末双休, 带薪假期, 节日福利, 团建旅游"
1152,市场营销实习生-大数据方向,重庆,好活(重庆)网络科技有限公司,2000-3000元,1年以下,本科,云计算/大数据,"市场推广, 市场策划, 市场拓展, 品牌营销, 整合营销",
1153,大数据实习生,西安,陕西盛为网络科技有限公司,3000-6000元,经验不限,大专,计算机软件,"数据治理, 数据架构, 数据挖掘",
1154,大数据开发工程师,南宁,南宁智云讯科大数据科技有限公司,8000-12000元,经验不限,大专,云计算/大数据,"Hadoop, Hive, Python, Scala, Spark",
1155,AI/大数据设计工程师,太原,思特奇,1.5-1.8万·14薪,无经验,硕士,运营商/增值服务,,
1156,大数据开发工程师,烟台,海颐软件,8000-12000元,3-5年,本科,计算机软件,"数据挖掘, 数据库开发",
1157,大数据开发工程师,北京,中德福林,1.5-2.5万,5-10年,大专,计算机软件,大数据开发/架构经验,
1158,大数据开发工程师,济南,济南禾禾传媒有限公司,8000-12000元·13薪,经验不限,学历不限,新媒体,"Oracle, SQL Server, PostgreSQL, 数据挖掘, Java, Hadoop, Spark",
1159,跨境网络案件人工智能大数据分析师,重庆,国开青旅集团有限公司,1.1-2.2万·14薪,经验不限,学历不限,房地产开发,,
1160,大数据销售,乌鲁木齐,新疆方舟信息咨询有限公司,5000-7000元,经验不限,大专,咨询服务,"政府客户, 企业客户","单位体检, 绩效奖金, 通讯补贴, 节日福利, 餐饮补贴, 全勤奖金, 团建福利, 五险"
1161,大数据开发工程师——25届校招,郑州,牧原股份,1-2万,无经验,本科,农/林/牧/渔,"数据治理, 数据挖掘, 数据库开发",
1162,AI软件销售—B端大数据/当月发薪/可小白,武汉,探迹科技,8000-13000元,经验不限,大专,互联网,"KA大客户, 企业客户, 政府客户, 电话销售, 网络销售, B端销售, 带薪培训, 可小白","高提成, 餐饮补贴, 周末双休, 奖金加提成, 带薪假期, 五险一金, 无责底薪, 带薪培训, 一对一培训"
1163,【2025应届】大数据开发工程师,天津,中国通信建设集团设计院有限公司,6000-12000元,无经验,本科,运营商/增值服务,数据库开发,
1164,java/网络安全/嵌入式/大数据/数据分析实习生,成都,成都蜗牛创想科技有限公司,6000-9000元,无经验,大专,互联网,"JavaScript, Python, C, Spring, Hibernate, Struts","五险一金, 商业保险, 单位体检, 加班补贴, 年终奖金"
1165,大数据开发工程师,济南,浪潮集团,9000-14000元,经验不限,学历不限,IT服务,"Hadoop, 数据治理, 数据架构, 数据挖掘",
1166,大数据开发工程师,长沙,新环境,8000-15000元,1-3年,本科,房地产开发,"数据架构, 数据挖掘, 数据治理",
1167,大数据分析师,郑州,郑州走南闯北物流有限公司,6000-8000元,经验不限,大专,货运/物流/仓储,"Java, Python, R语言, Tableau, 决策树, 神经网络, 方差分析, 因子分析","五险一金, 绩效奖金, 带薪假期, 涨薪, 交通补贴, 零食/下午茶, 年终分红, 全勤奖金, 周末双休, 法定节假日休"
1168,java＋大数据（实习生）,大连,辽宁省大连市世骥计算机软件开发有限公司,4000-6000元,经验不限,大专,计算机软件,,"五险一金, 周末双休, 绩效奖金, 法定节假日休, 五险"
1169,大数据开发工程师,佛山,深圳建广数字科技有限公司青岛分公司,1.4-2.8万,3-5年,大专,计算机软件,"Flink, Kafka, hive, Oracle, MySQL",
1170,大数据工程师,重庆,重庆康洲大数据(集团)有限公司,9000-18000元,经验不限,大专,医药制造,"Spark, Kafka, Hive, Elasticsearch",
1171,大数据助理,深圳,杭州建荣教育科技有限公司,8000-10000元,经验不限,大专,在线教育,接受无相关经验,
1172,大数据开发工程师,上海,上海秉龙人力资源有限公司,1.7-2万·14薪,经验不限,大专,人力资源服务,"数据架构, 数据挖掘, ETL",周末双休
1173,初级数据治理工程师,南昌,江西云擎科技有限公司,4000-7000元·13薪,1-3年,本科,IT服务,数据治理,
1174,大数据开发工程师,上海,深圳建广数字科技有限公司青岛分公司,1.7-2.5万,5-10年,大专,计算机软件,"数据治理, 数据挖掘, 数据仓库, Java, GoLang, Flink, 数据安全开发项目经验",
1175,大数据开发主管,广州,彩讯科技股份有限公司,1.3-1.5万,5-10年,大专,计算机软件,"数据建模, 数据治理, 大数据开发, 实时流开发, 报表开发, SPRINGBOOT",
1176,山西太原-大数据平台开发,太原,太平洋产险,5000-7000元,经验不限,本科,证券/期货,数据库开发,
1177,大数据开发工程师,惠州,深圳建广数字科技有限公司青岛分公司,1.4-2.8万,3-5年,大专,计算机软件,"hive, Flink, Kafka, Oracle, MySQL",
1178,请把大数据推给最美的人,苏州,苏州微行人科技有限公司,9000-16000元,无经验,学历不限,互联网金融/小额贷款,个人客户,"奖金加提成, 高提成, 通讯补贴, 晋升空间大"
1179,大数据开发工程师,济南,浪潮集团,8000-11000元,3-5年,大专,IT服务,"数据治理, 数据挖掘, 数据库开发, Sql, Hadoop, 运营商, 中国移动",
1180,大数据开发工程师（实习生）(001762),大连,东软教育科技集团有限公司,100-120元/天,无经验,硕士,计算机软件,"数据库开发, Hadoop, Spark",
1181,大数据研发工程师,武汉,武汉兴智联科技服务有限责任公司,8000-16000元,1-3年,本科,运营商/增值服务,"智慧交通, 智慧城市, 智慧教育, 智慧社区, 智慧医疗, 智慧园区","周末双休, 单位体检, 绩效奖金"
1182,新能源发电大数据实习生（技术方向）,兰州,北京智慧空间科技有限责任公司,100-120元/天,无经验,本科,云计算/大数据,"Hadoop, HDFS, Scala, MySQL, PostgreSQL, 数据平台, HBase, Hive",
1183,大数据网络销售,长沙,长沙墅马建筑科技有限公司,7000-14000元,经验不限,学历不限,建筑设计,"新媒体, 个人客户, 网络销售, 电话销售","绩效奖金, 带薪假期, 零食/下午茶, 节日福利, 无责底薪, 全勤奖金, 高提成, 团建福利, 十三薪, 五险, 生日福利"
1184,hadoop大数据开发工程师,佛山,广东美的制冷设备有限公司,面议,5-10年,大专,电子设备制造,"数据架构, 数据建模, ETL, Java, Shell, Hadoop, Kettle, 分布式开发, Hbase",
1185,大数据开发,焦作,河南瑞出工业设计有限公司,6000-9000元,经验不限,学历不限,人工智能,"数据治理, 数据架构, 数据挖掘, Sql, Python, Scala, Hadoop, Flink, Storm","五险一金, 周末双休"
1186,外贸大数据销售,南京,环球慧思数据技术有限公司,8000-14000元,1-3年,大专,互联网,"企业客户, KA大客户, 面销/陌拜, 电话销售, 地推销售","年终分红, 五险一金, 法定节假日休, 带薪假期, 无责底薪, 奖金加提成, 交通补贴, 节日福利, 月度奖金, 季度奖金, 高提成, 周末双休, 团建福利, 年终奖金, 绩效奖金"
1187,智能制造（人工智能、大数据分析、机器人技术）,青岛,青岛恒星人力资源有限公司,6000-9000元,经验不限,大专,人力资源服务,"机器人设计, 机器人电气设计, 机器人维保","五险一金, 包住, 免费工装"
1188,企业服务/销售/AI大数据 /10K+,重庆,企知道大数据科技有限公司,9000-13000元,1-3年,大专,专业技术服务,"KA大客户, 企业客户, SAAS软件, B端销售, 电销 面销","节日福利, 高提成, 六险一金, 年终奖金, 生日福利, 带薪假期, 无责底薪, 带薪培训"
1189,大数据开发,郑州,郑州多度影视传媒有限公司,6000-9000元,经验不限,学历不限,广播/影视,"Java, Python, Scala","五险一金, 周末双休"
1190,大数据开发工程师（6个月）,重庆,四川恒思亿信息技术有限公司,1.4-1.6万,5-10年,大专,IT服务,"数据仓库, 数据库开发, 数据架构, Hadoop, Flink, Spark",
1191,Python大数据分析特训营课程/培训招生 -合肥,合肥,51Testing,8000-9000元,经验不限,大专,计算机软件,"研发, 硬件研发","十三薪, 五险一金, 全勤奖金, 绩效奖金, 周末双休, 单位体检, 团建福利, 年终奖金, 节日福利, 涨薪"
1192,大数据分析师,济宁,太阳纸业,6000-7000元,无经验,本科,印刷/包装/造纸,"数据分析, 大数据分析","节日福利, 五险一金, 股票期权, 绩效奖金"
1193,大数据开发工程师,西安,中软国际,面议,1-3年,本科,计算机软件,"Python, Hadoop",
1194,大数据开发工程师,石家庄,中数智创科技有限公司,1-1.8万,5-10年,大专,IT服务,数据库开发,
1195,大数据开发实习生,贵阳,北京云锦汇智信息技术有限公司,120-150元/天,无经验,本科,IT服务,"数据仓库, Sql, Java, Vue, DORIS, SPRINGBOOT",
