职位,城市,公司,薪资,经验,学历,领域,技能,福利
数据要素建设专员,重庆,重庆两江智慧城市投资发展有限公司,7000-8000元,3-5年,本科,工程施工,数据分析,
数据交付,重庆,字节跳动,8000-12000元,3-5年,本科,互联网,,
大数据分析师-汽车金融项目-重庆,重庆,厦门至恒融兴信息技术股份有限公司福州分公司,1-1.6万,3-5年,本科,计算机软件,"数据建模, 算法, 数据分析, Sql, hive, Oracle",
销售效率负责人（SFE）,重庆,海默尼药业,5-7万,5-10年,本科,医药制造,,
市场信息研究专员,重庆,重庆长安跨越车辆有限公司,7000-9000元,1-3年,本科,汽车研发/制造,"行业调研, 企业调研, 产品调研",
内部数转需求分析,重庆,中国电信重庆分公司,9000-12000元,3-5年,本科,通信/网络设备,"Xmind, 墨刀, Visio, Axure, 竞品分析, 原型设计, 产品规划, 运营商经验","五险一金, 高温补贴, 带薪假期, 通讯补贴, 商业医疗险, 交通补贴, 餐饮补贴"
电销策略分析师/经理,重庆,重庆信盟科技发展有限公司,1.5-3万·14薪,经验不限,本科,互联网金融/小额贷款,"SQL, 电销策略, 用户分层, Python, 拨打策略",
金融大模型训练专家-投顾方向,重庆,深圳青桐盛夏科技有限公司,1-1.5万·14薪,3-5年,本科,企业服务,"证券分析师证书 CFA FRM, CPA CFP AFP RFP, 基金 证券 理财师",
全栈运营专员,重庆,上海极达空调设备有限公司,4000-6000元,1-3年,本科,电气机械/电力设备,"新媒体运营, 市场营销, 数据分析",
物流运营岗-应收改善侧,重庆,京东集团,8000-16000元·16薪,3-5年,本科,互联网,"年终奖, 周末双休, 餐补, 单位体检, 商业保险, 应收处理, 数据分析, 判责追损","餐饮补贴, 周末双休, 商业保险, 单位体检, 年终奖金"
金融大模型训练专家-投研方向,重庆,深圳青桐盛夏科技有限公司,1-1.5万·14薪,1-3年,本科,企业服务,"金融投资市场机构, 投融资数据分析, 风险分析, CFA资格证书, 证券从业资格证, 证券分析师证书",
催收策略分析师(J11032),重庆,重庆信盟科技发展有限公司,1.3-2.2万·14薪,5-10年,本科,互联网金融/小额贷款,"贷后数据分析, 量化分析, 贷款数据分析, 互金数据分析, SQL, 分案策略, 催收策略",
市场研究专员,重庆,四川力扬工业有限公司,5000-8000元,1-3年,大专,专用设备制造,摩配,
市场分析师,重庆,上海极达空调设备有限公司,4000-6000元,1-3年,大专,电气机械/电力设备,"信息收集, 线索筛选",
运营工程师,重庆,武汉佰钧成技术有限责任公司,7000-10000元,1-3年,本科,计算机软件,"ppt, 数据分析",
研发分析（庆余堂）,重庆,福安药业集团重庆礼邦药物开发有限公司,7000-12000元·13薪,1-3年,本科,医药制造,"数据统计分析, 药学, 制药工程, 化学, 药物分析","单位体检, 五险一金, 周末双休, 加班补贴, 团建旅游, 节日福利, 餐饮补贴"
大模型标注-数据改写-双休 下午茶 五险,重庆,浙江景烁数据科技有限公司,4000-5000元,1-3年,本科,人工智能,数据标注,"五险, 零食/下午茶, 周末双休"
